Total heat demand (kWh_th),,,,,,,,,,,,
Notes:,"Figures are for total heat demand in kWh_th of all buildings, including new build ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,,,,
,scenario,Baseline,Consumer Transformation,System Transformation,Leading the Way,Consumer Transformation,System Transformation,Leading the Way,,,,
,year,2020,2030,2030,2030,2050,2050,2050,,,,
,sector,Combined,Combined,Combined,Combined,Combined,Combined,Combined,,,,
,,,,,,,,,,,,
,LSOA code,Total_heat demand_kWhBaseline2020Combined,Total_heat demand_kWhConsumer Transformation2030Combined,Total_heat demand_kWhSystem Transformation2030Combined,Total_heat demand_kWhLeading the Way2030Combined,Total_heat demand_kWhConsumer Transformation2050Combined,Total_heat demand_kWhSystem Transformation2050Combined,Total_heat demand_kWhLeading the Way2050Combined,LAD20NM,CTYUA19NM,LEP20NM,Licence area
,E01000173,8023544.494,7828051.58,8152648.269,7605158.826,7431916.582,7599517.508,7425171.685,Barnet,Barnet,London,EPN
,E01000174,11380786.98,11187437.57,11643804.01,10927903.36,10310850.43,10539452.38,10267653.82,Barnet,Barnet,London,EPN
,E01000175,8155166.285,7718048.051,8154798.717,7595060.982,7479192.258,7819071.435,7613860.777,Barnet,Barnet,London,EPN
,E01000176,8593530.162,7964223.567,8284299.047,7811801.173,7487906.63,7692243.423,7440476.223,Barnet,Barnet,London,EPN
,E01000177,12538782.18,14660265.17,15463466.62,14098278.49,10983041.87,11500827.88,10940631.84,Barnet,Barnet,London,EPN
,E01000178,9227603.425,8677929.686,9063348.359,8447019.08,8286110.412,8511829.919,8265452.321,Barnet,Barnet,London,EPN
,E01000179,10625032.6,10289050.82,10665555.6,10061527.41,9820205.287,10037685.13,9796325.652,Barnet,Barnet,London,EPN
,E01000180,8326363.86,8238118.2,8606584.69,8091428.665,7871548.843,8113667.337,7877345.293,Barnet,Barnet,London,EPN
,E01000181,8184874.169,9435129.631,9713743.17,9157242.65,8938938.579,10744045.6,10604896.91,Barnet,Barnet,London,EPN
,E01000182,12971177.37,12986650.6,13455517.42,12581958.77,11113727.67,11347594.38,11011820.46,Barnet,Barnet,London,EPN
,E01000183,10649691.98,10029393.7,10480725.4,9560025.328,7397924.467,7628826.438,7156148.635,Barnet,Barnet,London,EPN
,E01000184,7354617.986,6868670.374,7135714.167,6882753.37,6835140.125,7017156.134,6947114.639,Barnet,Barnet,London,EPN
,E01000185,6730592.459,6253419.783,6468608.107,6186489.445,6199444.468,6342251.218,6190991.474,Barnet,Barnet,London,EPN
,E01000186,7071693.352,6933997.914,7290107.238,6691476.387,6338106.751,6591560.268,6202129.038,Barnet,Barnet,London,EPN
,E01000187,8944521.055,8564172.729,9248205.307,8992325.758,7903713.068,8721107.912,8576656.079,Barnet,Barnet,London,EPN
,E01000188,8939013.868,8054481.112,8439862.688,7721766.231,6815722.021,7046892.639,6712217.606,Barnet,Barnet,London,EPN
,E01000189,19773013.74,17920542,18467082.44,17772731.01,16879728.45,17183405.57,16780695.36,Barnet,Barnet,London,EPN
,E01000190,7814920.951,7518776.88,7883852.284,7306342.901,7109593.948,7335443.317,7109903.061,Barnet,Barnet,London,EPN
,E01000191,7322421.776,7213166.181,7572926.13,6990020.589,6677210.755,6882845.268,6658964.546,Barnet,Barnet,London,EPN
,E01000192,14605345.25,15071097.07,15826419.28,14437464.67,11033066.56,11434663.74,10815709.74,Barnet,Barnet,London,EPN
,E01000193,21174066.58,29946774,30895002.49,28691428.43,21082360.54,21690698.73,21029748.87,Barnet,Barnet,London,EPN
,E01000194,15570535.72,14722004.91,15488073.36,14069004.85,11430259.36,11731972.32,11011019,Barnet,Barnet,London,EPN
,E01000195,11074999.39,11418575.93,11991770.71,11131181.27,9861507.589,10195202.09,9835131.478,Barnet,Barnet,London,EPN
,E01000196,20085310.86,10916155.92,12310449.91,11597558.25,11897874.71,15346540.65,15147069.74,Barnet,Barnet,London,EPN
,E01000197,9910928.633,9226018.161,9611260.058,8980117.865,8503473.802,8698704.995,8444832.563,Barnet,Barnet,London,EPN
,E01000198,11773648.96,10979850.27,11529140.68,10578530.26,9698586.795,9979215.022,9600442.211,Barnet,Barnet,London,EPN
,E01000199,12223576.4,11747650.4,12280832.55,11326176.08,10425235.35,10660071.54,10356840.1,Barnet,Barnet,London,EPN
,E01000200,10928769.2,10271953.14,10737264.97,10006830.81,10027755.55,10297230.02,10034226.94,Barnet,Barnet,London,EPN
,E01000201,7573826.877,7168708.982,7522302.679,6944421.702,6873736.677,7115138.18,6847742.384,Barnet,Barnet,London,EPN
,E01000202,5506685.956,6124840.32,7221595.784,6880032.324,7799322.439,10155609.25,10032070.26,Barnet,Barnet,London,EPN
,E01000203,15330890.99,18572315.87,19874819.37,17874890.39,13247704.59,14046184.19,13208327.28,Barnet,Barnet,London,EPN
,E01000204,13452811.63,10994808.24,11467914.04,10662919.38,10099649.91,10343124.44,10064303.15,Barnet,Barnet,London,EPN
,E01000205,9800365.763,9230251.622,9681438.021,8857641.111,7797341.854,8053448.963,7680185.507,Barnet,Barnet,London,EPN
,E01000206,12936168.87,12090170.42,12652891.55,11559067.61,9355841.226,9646638.903,9122344.606,Barnet,Barnet,London,EPN
,E01000207,8492223.158,8460287.502,9284125.247,8608037.124,7914472.175,10104277.07,9894030.578,Barnet,Barnet,London,EPN
,E01000208,11488479.7,10836760.69,11313486.55,10328316.73,8135835.747,8365391.191,7892599.736,Barnet,Barnet,London,EPN
,E01000209,11550793.11,10908611.37,11407081.06,10527550.01,9603835.969,9877783.328,9504437.028,Barnet,Barnet,London,EPN
,E01000210,10796124.7,10215306.52,10676324.13,9746457.287,7702808.604,7945626.148,7476932.662,Barnet,Barnet,London,EPN
,E01000211,16589783.84,15290742.56,15855921.88,14762133.91,12310741.62,12532494.7,11971295.04,Barnet,Barnet,London,EPN
,E01000212,9523810.678,8929931.386,9332837.845,8606606.548,7585097.311,7790329.842,7479883.862,Barnet,Barnet,London,EPN
,E01000213,10397516.14,9775137.883,10255885.89,9311350.577,7276726.472,7539707.488,7060427.2,Barnet,Barnet,London,EPN
,E01000214,11848972.81,11090928.54,11553422.56,10785031.51,10232932.46,10448889.9,10177872.39,Barnet,Barnet,London,EPN
,E01000215,9347215.115,10895283.15,11850201.87,11214899.33,11889445.43,14393673.35,14214354.93,Barnet,Barnet,London,EPN
,E01000216,7016376.052,7541721.18,8558247.686,8073546.628,8290336.977,10707706.11,10545690.58,Barnet,Barnet,London,EPN
,E01000217,5755243.135,6063590.164,6790348.446,6376148.058,6353068.785,8116929.084,7990327.849,Barnet,Barnet,London,EPN
,E01000218,8219170.768,9092303.506,9766589.148,9193246.196,9214807.753,11153455.05,10995628.95,Barnet,Barnet,London,EPN
,E01000219,11591851.09,11834720.68,12289978.24,11485378.76,10632405.2,10881306.6,10470264.14,Barnet,Barnet,London,EPN
,E01000220,10547100.17,12118664.29,12006988.05,11280289.07,11474903.42,12511412.23,12343428.94,Barnet,Barnet,London,EPN
,E01000221,12150466.38,16177128.81,16669214.15,15602021.35,12240323.33,12492363.94,12135419.87,Barnet,Barnet,London,EPN
,E01000222,10639532.26,10931644.08,11340634.95,10734716.54,11505561.37,11758500.3,11504913.18,Barnet,Barnet,London,EPN
,E01000223,14324463.76,17794502.09,18187127.33,17222549.29,14118977.81,14341452.58,13988730.03,Barnet,Barnet,London,EPN
,E01000224,7925161.167,8444165.824,8763002.388,8273338.714,9003717.839,9206574.11,8999194.307,Barnet,Barnet,London,EPN
,E01000225,11090723.46,10482095.25,10979677.99,10093499.5,8190409.004,8458662.528,8036600.395,Barnet,Barnet,London,EPN
,E01000226,8265510.181,7697070.175,7996515.051,7569167.751,7554613.313,7738533.024,7547231.281,Barnet,Barnet,London,EPN
,E01000227,9590010.807,10067270.38,10652553.12,9746977.27,8728745.603,9081034.816,8731924.219,Barnet,Barnet,London,EPN
,E01000228,7567001.836,6868729.787,7201756.64,6606758.786,6163555.618,6387002.227,5870102.908,Barnet,Barnet,London,EPN
,E01000229,8417822.03,8154358.939,8494500.849,7937688.715,7476279.339,7684881.399,7448096.33,Barnet,Barnet,London,EPN
,E01000230,10441337.27,10439821.62,10890589.65,10054998.83,8688291.183,8934656.924,8573303.658,Barnet,Barnet,London,EPN
,E01000231,8918161.498,8728093.527,9083622.769,8464526.108,7988756.057,8194708.597,7957362.696,Barnet,Barnet,London,EPN
,E01000232,10120283.23,9853643.067,10263125.56,9551823.282,9059452.705,9275774.59,9026270.642,Barnet,Barnet,London,EPN
,E01000233,10164026.58,9960433.68,10387014.45,9620431.538,8773917.581,9012278.832,8713199.521,Barnet,Barnet,London,EPN
,E01000234,9898522.756,9352058.971,9770533.89,9089787.475,8969991.43,9204380.897,8947560.495,Barnet,Barnet,London,EPN
,E01000235,10001183.84,9196102.149,9583245.99,8917395.974,7952713.583,8164295.999,7829604.755,Barnet,Barnet,London,EPN
,E01000236,16706544.28,21168889.26,22152957.22,20373356.65,15883673.17,16461154.63,15804295.89,Barnet,Barnet,London,EPN
,E01000237,14024456.98,13035599.84,13530330.72,12682511.66,11360869.06,11592653.61,11240233.08,Barnet,Barnet,London,EPN
,E01000238,16213273.68,19640951.61,20654920.06,18738892.01,13155602.91,13740613.48,12967295.77,Barnet,Barnet,London,EPN
,E01000239,67693469.3,102344248.8,109496169.9,97586946.41,57819138.76,62623521.03,57783762.6,Barnet,Barnet,London,EPN
,E01000240,9679574.322,9046588.549,9473966.478,8802183.039,8591833.61,8850356.322,8575561.296,Barnet,Barnet,London,EPN
,E01000241,12340621.03,11619273.02,12100483.13,11308462.18,10918577.19,11137604.51,10888103.03,Barnet,Barnet,London,EPN
,E01000242,11543092.78,11369664.69,11981442.78,11009351.72,9444478.058,9800500.87,9373899.961,Barnet,Barnet,London,EPN
,E01000243,11038633.12,11463213.33,12757084.79,12037271.66,12053380.61,15121577.73,14930079.39,Barnet,Barnet,London,EPN
,E01000244,15572787.79,15875707.18,16800879.04,15197466.65,11800678.36,12275496.27,11642673.97,Barnet,Barnet,London,EPN
,E01000245,10305226.7,10306652.02,11457039.31,10879495.2,10724364.87,13769349.5,13620150.62,Barnet,Barnet,London,EPN
,E01000246,9149301.005,8679530.338,9094014.852,8435363.537,8419292.793,8682954.551,8432269.871,Barnet,Barnet,London,EPN
,E01000247,12837672.73,12939389.79,13669443.73,12422892.45,10233115.38,10613948.57,10086631.53,Barnet,Barnet,London,EPN
,E01000248,11117709.88,10361039.27,10788124.33,9867210.941,8696675.302,8934571.46,8353035.712,Barnet,Barnet,London,EPN
,E01000249,8287339.374,7841786.162,8222050.586,7574528.416,7293108.873,7526220.429,7223977.069,Barnet,Barnet,London,EPN
,E01000250,21339507.14,19048267.2,19896965.04,18327446.9,16333821.27,16721905.29,16072524.51,Barnet,Barnet,London,EPN
,E01000251,19210569.9,19450233.86,20498207.45,18858333.4,16487044.57,16959454.51,16411812.84,Barnet,Barnet,London,EPN
,E01000252,12324332.01,11637888.19,12128592.44,11344037.47,11187621.71,11408637.55,11188024.13,Barnet,Barnet,London,EPN
,E01000253,12327900.39,11459794.99,12034336.29,11049448.79,10681041.09,11070344.16,10417873.88,Barnet,Barnet,London,EPN
,E01000254,9880406.643,9315370.818,9754980.295,9001890.026,8518820.119,8747951.09,8475250.229,Barnet,Barnet,London,EPN
,E01000255,8864483.17,9320435.015,9675691.043,9090493.482,9376684.87,9586370.165,9287277.96,Barnet,Barnet,London,EPN
,E01000256,10315446.99,10720468.09,11158253.73,10420406.49,10828639.8,11061165.92,10783253.29,Barnet,Barnet,London,EPN
,E01000257,10625241.15,10868648.08,11234067.62,10655758.24,10871792.38,11056118.89,10781306.89,Barnet,Barnet,London,EPN
,E01000258,13230090.59,13243856.71,13804718.17,12789394.89,12017028.2,12303331.65,11824800.67,Barnet,Barnet,London,EPN
,E01000259,16923656.12,19156069.55,20379997.96,18525332.33,16085599.61,16944767.19,16120580.58,Barnet,Barnet,London,EPN
,E01000260,17071128.56,20693918.22,21551225.07,19918862.95,16447238.47,16879529.64,16341128.83,Barnet,Barnet,London,EPN
,E01000261,11887056.52,11234222.26,11758004.41,10878710.76,10372810.1,10653602.57,10308104.2,Barnet,Barnet,London,EPN
,E01000262,20858087.58,21048914.14,22010308.5,20430450.74,19898671.38,20425303.66,19789836.12,Barnet,Barnet,London,EPN
,E01000263,7641730.233,7252253.473,7600050.051,7012451.145,6740520.766,6966228.607,6716337.687,Barnet,Barnet,London,EPN
,E01000264,12433008.71,11323806.92,11806622.25,10957811.02,9897682.001,10137830.3,9667282.431,Barnet,Barnet,London,EPN
,E01000265,10264146.38,9834175.908,10232558.53,9575870.569,9019868.02,9240516.599,8959321.398,Barnet,Barnet,London,EPN
,E01000266,7248334.774,6866977.874,7226891.825,6643489.695,6619524.584,6858190.038,6622642.008,Barnet,Barnet,London,EPN
,E01000267,9108918.437,8587087.906,9011492.968,8313165.507,8117265.495,8360746.121,8100673.054,Barnet,Barnet,London,EPN
,E01000268,29923508.92,35844178.19,38901648.32,34443909.97,25054636.15,26854325.37,25007199.14,Barnet,Barnet,London,EPN
,E01000269,9422889.45,10473313.59,11161106.49,10133500.21,8898070.432,9288637.011,8882203.764,Barnet,Barnet,London,EPN
,E01000270,9094350.563,8635219.384,9022553.882,8394218.094,8376300.669,8555283.924,8387193.815,Barnet,Barnet,London,EPN
,E01000271,10887233.2,12101347,12890474.18,11670252.01,9796391.503,10279397.32,9787946.505,Barnet,Barnet,London,EPN
,E01000272,8427879.189,7921083.566,8282480.097,7625284.662,6980418.87,7203748.568,6911588.686,Barnet,Barnet,London,EPN
,E01000273,9058573.963,9651681.508,10120106.35,9378635.392,8070496.519,8325507.212,7971218.202,Barnet,Barnet,London,EPN
,E01000274,9194944.714,8684468.203,9058153.103,8470228.995,8395974.053,8625518.152,8382897.766,Barnet,Barnet,London,EPN
,E01000275,8236492.32,7757177.507,8100530.101,7536496.433,7315597.504,7528845.698,7269843.188,Barnet,Barnet,London,EPN
,E01000276,9159826.981,9164929.16,9725293.801,8778711.464,7405337.704,7760842.462,7318460.721,Barnet,Barnet,London,EPN
,E01000277,12393593.2,11636842.47,12042645.71,11468358.71,11414293.31,11685251.73,11386291.06,Barnet,Barnet,London,EPN
,E01000278,8687647.834,8972735.077,9374101.229,8603305.486,7732564.71,8002044.037,7684436.075,Barnet,Barnet,London,EPN
,E01000279,9142681.342,8403612.263,8819746.428,8094069.301,7769845.639,8061590.275,7508735.805,Barnet,Barnet,London,EPN
,E01000280,8335100.116,7821054.998,8246058.159,7496992.534,7037857.009,7327097.743,6748229.631,Barnet,Barnet,London,EPN
,E01000281,14434410.77,13473905.78,14152656.26,12903613.52,9501170.311,9809936.514,9160499.419,Barnet,Barnet,London,EPN
,E01000282,10142937.27,9829846.507,10348870.65,9483857.783,8871226.381,9187756.102,8835429.998,Barnet,Barnet,London,EPN
,E01000283,6976349.485,6613301.273,6957649.402,6395837.255,6371414.096,6609584.88,6357599.61,Barnet,Barnet,London,EPN
,E01000284,9245505.136,8983447.076,9367540.04,8775483.72,8589033.76,8810272.429,8575171.31,Barnet,Barnet,London,EPN
,E01000285,7724412.192,7326132.238,7657460.595,7108014.283,6946863.732,7148145.575,6927098.343,Barnet,Barnet,London,EPN
,E01000286,9424958.914,8679812.215,9041440.05,8447219.735,8233692.335,8455422.898,7969759.034,Barnet,Barnet,London,EPN
,E01000287,8936946.732,8312950.452,8663413.25,8047528.165,7281346.191,7474787.614,7185329.183,Barnet,Barnet,London,EPN
,E01000288,8031865.214,7511009.487,7885040.294,7270524.081,7067846.238,7285075.589,7046973.887,Barnet,Barnet,London,EPN
,E01000289,9521313.273,8813443.486,9105510.402,8656064.457,8226148.238,8378615.872,8174444.56,Barnet,Barnet,London,EPN
,E01000290,10782547.27,9940918.127,10417039.95,9606741.362,9320578.905,9616545.283,9057883.47,Barnet,Barnet,London,EPN
,E01000291,8540587.821,7945172.699,8235218.308,7792846.351,7588960.432,7751761.967,7546723.767,Barnet,Barnet,London,EPN
,E01000292,11003993.57,10267439.55,10770273.26,9891081.619,9181799.244,9461809.408,9087348.681,Barnet,Barnet,London,EPN
,E01000293,11193291.63,10520697.13,10985536.59,10164950.02,9482989.992,9715561.295,9403298.773,Barnet,Barnet,London,EPN
,E01000294,9367897.42,8805834.359,9194574.351,8539445.99,8131855.89,8331242.85,8073302.019,Barnet,Barnet,London,EPN
,E01000295,4763520.814,8379909.163,8776675.329,8492072.048,8097645.858,8372331.378,8258505.946,Barnet,Barnet,London,EPN
,E01000296,11695540.55,9645182.754,9993778.421,9447051.243,9227134.962,9417610.202,9201709.241,Barnet,Barnet,London,EPN
,E01000297,8059914.558,7473331.62,7776928.907,7245378.788,6792820.72,6924132.506,6742513.154,Barnet,Barnet,London,EPN
,E01000298,12086311.58,11463136.81,11923919.33,11005839.32,8881135.993,9099144.076,8637521.83,Barnet,Barnet,London,EPN
,E01000299,11084285.75,9631551.493,10964862.15,10565604.43,11679304.71,15132380.96,14992643.2,Barnet,Barnet,London,EPN
,E01000300,8931761.617,8406855.303,8770816.309,8182527.888,8024985.471,8221046.748,8005487.316,Barnet,Barnet,London,EPN
,E01000301,8827078.656,9709171.981,10215506.38,9410397.012,7853944.515,8160152.463,7781227.852,Barnet,Barnet,London,EPN
,E01000302,1392054.938,8701598.016,9146867.995,9094000.115,8301506.512,8650578.041,8629048.576,Barnet,Barnet,London,EPN
,E01000303,8560777.344,7643097.233,8005650.361,7409937.681,7179224.146,7396048.275,7172356.272,Barnet,Barnet,London,EPN
,E01000304,11610329.2,8980157.765,9464239.604,8736541.697,7964853.943,8232162.34,7952618.48,Barnet,Barnet,London,EPN
,E01000305,13185829.95,12941228.35,13436750.93,12471347.74,10029529.81,10240443.4,9817304.967,Barnet,Barnet,London,EPN
,E01000306,4511831.984,5379949.017,6322422.417,6055433.202,6898658.041,8923156.014,8844636.427,Barnet,Barnet,London,EPN
,E01000307,11151252.53,11168958.97,11535060.69,10630117.92,9150116.361,9364071.499,8863192.836,Barnet,Barnet,London,EPN
,E01000308,19850997.14,18176802.5,18748424.33,17997093.75,17819223,18114176.98,17831548.03,Barnet,Barnet,London,EPN
,E01000309,10274180.04,9598620.831,9998607.775,9361291.964,9134467.617,9351201.578,9119892.992,Barnet,Barnet,London,EPN
,E01000310,25274741.37,30441514.69,32226639.09,28997055.09,19593284.23,20626201.67,19260664.3,Barnet,Barnet,London,EPN
,E01000311,14859668.7,19482536.75,20445232.67,18602134.78,13984758.67,14599117.45,13829793.87,Barnet,Barnet,London,EPN
,E01000312,9295794.654,8658114.67,8977265.266,8467473.601,8112288.154,8280407.724,8069498.822,Barnet,Barnet,London,EPN
,E01000313,11707043.23,11921434.82,12373744.83,11644506.85,10197385.24,10425220.6,10219522.28,Barnet,Barnet,London,EPN
,E01000314,7384547.306,9356631.042,10452789.61,10001535.11,11044616.27,13494958.97,13362613.29,Barnet,Barnet,London,EPN
,E01000315,8413737.326,7894277.378,8206540.246,7721992.717,7345297.65,7541482.453,7300897.416,Barnet,Barnet,London,EPN
,E01000316,17168347.21,19729865.35,20465028.54,18913237.66,14886408.61,15328930.77,14701053.72,Barnet,Barnet,London,EPN
,E01000317,2124887.573,8072241.839,8474524.494,8318059.083,7465268.541,7763873.723,7691689.032,Barnet,Barnet,London,EPN
,E01000318,8865801.964,8358655.666,8742408.987,8103671.927,7900169.733,8116501.923,7850893.285,Barnet,Barnet,London,EPN
,E01000319,3929735.998,4713534.27,5571537.199,5309078.571,6049821.643,7899625.561,7810019.763,Barnet,Barnet,London,EPN
,E01000320,12048312.73,11213456.66,11796910.77,10799132.56,9678653.731,9963088.561,9542455.238,Barnet,Barnet,London,EPN
,E01000321,8103663.583,8173143.983,9534877.11,9142153.579,10103995.81,13078603.48,12955492.99,Barnet,Barnet,London,EPN
,E01000322,9961486.7,9491771.053,9917953.112,9341760.189,9031161.163,9326095.265,9052420.651,Barnet,Barnet,London,EPN
,E01000323,15361015.45,14616149.39,15127793.52,14187956.41,12509443.01,12748977.89,12340292.24,Barnet,Barnet,London,EPN
,E01000324,9287530.656,8737471.618,9141579.504,8469154.043,8170534.319,8412156.178,8104478.84,Barnet,Barnet,London,EPN
,E01000325,8448545.102,8658324.634,9015361.434,8374917.03,8997228.654,9191976.977,8958787.652,Bexley,Bexley,London,LPN
,E01000326,6828668.783,7391156.26,7715547.451,7180093.247,7787460.582,7951715.982,7773052.371,Bexley,Bexley,London,LPN
,E01000327,8836313.598,9597062.92,10134402.5,9306019.215,9657752.493,9973544.904,9657146.33,Bexley,Bexley,London,LPN
,E01000328,11265106.22,12512149.86,13108616.31,11994044.37,10544865.72,10893868.14,10425516.05,Bexley,Bexley,London,LPN
,E01000329,10433951.4,11335149.21,11728901.6,10851693.71,10081089.93,10292214.23,9935169.57,Bexley,Bexley,London,LPN
,E01000330,13096315.14,14040556.44,14764408.77,13543476.9,12456921.72,12844862.47,12329312.6,Bexley,Bexley,London,LPN
,E01000331,10323399.02,12398545.65,12934619.07,12029922.8,11200967.57,11545587.83,11201100.73,Bexley,Bexley,London,LPN
,E01000332,40935332.34,63433532.79,66783774.76,60005406.45,35282135.77,37401200.08,35108539.49,Bexley,Bexley,London,LPN
,E01000333,11767372.92,11117230.18,11594722.94,10841796.82,10946349.94,11174200.48,10897466.33,Bexley,Bexley,London,LPN
,E01000334,8607577.63,8158084.249,8525192.485,7914643.761,7783351.172,7982028.872,7761925.801,Bexley,Bexley,London,LPN
,E01000335,20448425.21,18299339.46,19503784.48,17576031.69,15887759.4,17226431.09,15698137.83,Bexley,Bexley,London,LPN
,E01000336,12291260.09,11464106.63,11891556.73,11261582.77,11421056.29,11620800.89,11406202.93,Bexley,Bexley,London,LPN
,E01000337,8639991.797,8220344.738,8568371.298,8016781.538,8137901.184,8336722.735,8108804.346,Bexley,Bexley,London,LPN
,E01000338,9240553.037,8797619.719,9166348.245,8579479.522,8678359.158,8876115.887,8673350.935,Bexley,Bexley,London,LPN
,E01000339,7906843.157,7472563.48,7826717.742,7252236.466,7219156.506,7422282.313,7210499.371,Bexley,Bexley,London,LPN
,E01000340,8402255.757,7957951.181,8310017.502,7703397.242,7458089.143,7658508.15,7416847.908,Bexley,Bexley,London,LPN
,E01000341,8147268.454,7742496.379,8102249.821,7502297.009,7441797.309,7645237.176,7421683.673,Bexley,Bexley,London,LPN
,E01000342,7783562.959,7414227.159,7736984.453,7197793.285,7108244.256,7269420.06,7081836.134,Bexley,Bexley,London,LPN
,E01000343,8032981.27,8121746.805,8453663.077,7867446.557,7535876.831,7731171.401,7496914.201,Bexley,Bexley,London,LPN
,E01000344,8700583.068,8268641.133,8651592.261,8012980.942,7945207.306,8160885.633,7930008.046,Bexley,Bexley,London,LPN
,E01000345,6491761.635,6306207.145,6592086.127,6101509.181,6083080.904,6262711.604,5964631.194,Bexley,Bexley,London,LPN
,E01000346,7432596.476,7096936.284,7421524.027,6888001.663,6976769.115,7155468.395,6977240.485,Bexley,Bexley,London,LPN
,E01000347,8921540.531,8946368.233,9293077.347,8656589.208,8144815.323,8323370.243,8099330.914,Bexley,Bexley,London,LPN
,E01000348,7334101.925,6939059.814,7311611.074,6699850.331,6657562.93,6893185.065,6649934.136,Bexley,Bexley,London,LPN
,E01000349,8979150.316,8518469.44,8937166.702,8245116.852,8206870.353,8462931.943,8200412.66,Bexley,Bexley,London,LPN
